scenario,mode,snr_db,blocks,bits,ber_iter1,ber_iter5,ber_iter10,elapsed_s
no_phase_mild_pa,mismatch,0,5,20480,0.34755859375,0.336767578125,0.33671875,0.13661956787109375
no_phase_mild_pa,mismatch,1,5,20480,0.3265625,0.313720703125,0.31337890625,0.1089332103729248
no_phase_mild_pa,mismatch,2,8,32768,0.28253173828125,0.25628662109375,0.255859375,0.15633893013000488
no_phase_mild_pa,mismatch,3,10,40960,0.249169921875,0.2071044921875,0.2069580078125,0.18794846534729004
no_phase_mild_pa,mismatch,4,12,49152,0.20263671875,0.11277262369791667,0.0809326171875,0.2315075397491455
no_phase_mild_pa,mismatch,4.5,15,61440,0.17903645833333334,0.06297200520833333,0.019108072916666666,0.2977268695831299
no_phase_mild_pa,mismatch,5,20,81920,0.15653076171875,0.01644287109375,0.0,0.3770871162414551
no_phase_mild_pa,mismatch,5.5,25,102400,0.13916015625,0.002900390625,0.0,0.497283935546875
no_phase_mild_pa,mismatch,6,30,122880,0.11090494791666666,0.00013020833333333333,0.0,0.5536854267120361
no_phase_mild_pa,sequence,0,5,20480,0.360302734375,0.351123046875,0.350537109375,0.7184982299804688
no_phase_mild_pa,sequence,1,5,20480,0.328662109375,0.310595703125,0.311572265625,0.6895577907562256
no_phase_mild_pa,sequence,2,8,32768,0.289764404296875,0.269744873046875,0.270294189453125,1.1104297637939453
no_phase_mild_pa,sequence,3,10,40960,0.252978515625,0.2238525390625,0.2238525390625,1.4694044589996338
no_phase_mild_pa,sequence,4,12,49152,0.21449788411458334,0.15840657552083334,0.15409342447916666,1.6528332233428955
no_phase_mild_pa,sequence,4.5,15,61440,0.18841145833333334,0.108837890625,0.08761393229166667,2.0740811824798584
no_phase_mild_pa,sequence,5,20,81920,0.165625,0.0642333984375,0.0177490234375,2.6824147701263428
no_phase_mild_pa,sequence,5.5,25,102400,0.14404296875,0.0279296875,0.000283203125,3.3608345985412598
no_phase_mild_pa,sequence,6,30,122880,0.12373046875,0.0051025390625,0.0,4.126112222671509
no_phase_mild_pa,oracle,0,5,20480,0.343408203125,0.3345703125,0.334716796875,0.09225845336914062
no_phase_mild_pa,oracle,1,5,20480,0.317236328125,0.307421875,0.30751953125,0.08807158470153809
no_phase_mild_pa,oracle,2,8,32768,0.279815673828125,0.255706787109375,0.255859375,0.14862370491027832
no_phase_mild_pa,oracle,3,10,40960,0.2416259765625,0.19775390625,0.1962646484375,0.18148112297058105
no_phase_mild_pa,oracle,4,12,49152,0.20131429036458334,0.11260986328125,0.07661946614583333,0.21866798400878906
no_phase_mild_pa,oracle,4.5,15,61440,0.180126953125,0.0599609375,0.004524739583333334,0.27001333236694336
no_phase_mild_pa,oracle,5,20,81920,0.15660400390625,0.0161376953125,0.0,0.37336063385009766
no_phase_mild_pa,oracle,5.5,25,102400,0.134716796875,0.002041015625,0.0,0.4427006244659424
no_phase_mild_pa,oracle,6,30,122880,0.11244303385416667,0.00013020833333333333,0.0,0.5502612590789795
seen_phase_strong_pa,mismatch,0,5,20480,0.458349609375,0.457275390625,0.457373046875,0.09780073165893555
seen_phase_strong_pa,mismatch,1,5,20480,0.455126953125,0.45439453125,0.454248046875,0.0903310775756836
seen_phase_strong_pa,mismatch,2,8,32768,0.45452880859375,0.45404052734375,0.454498291015625,0.14724159240722656
seen_phase_strong_pa,mismatch,3,10,40960,0.4455322265625,0.442578125,0.44208984375,0.18210887908935547
seen_phase_strong_pa,mismatch,4,12,49152,0.4444376627604167,0.4404296875,0.4394124348958333,0.2232222557067871
seen_phase_strong_pa,mismatch,4.5,15,61440,0.44334309895833335,0.4385579427083333,0.43924153645833336,0.27237749099731445
seen_phase_strong_pa,mismatch,5,20,81920,0.43856201171875,0.43927001953125,0.43839111328125,0.36646103858947754
seen_phase_strong_pa,mismatch,5.5,25,102400,0.4387109375,0.435439453125,0.437099609375,0.45385003089904785
seen_phase_strong_pa,mismatch,6,30,122880,0.43333333333333335,0.433544921875,0.434375,0.5453178882598877
seen_phase_strong_pa,sequence,0,5,20480,0.442431640625,0.44423828125,0.4453125,0.6702895164489746
seen_phase_strong_pa,sequence,1,5,20480,0.443603515625,0.442822265625,0.44072265625,0.6720113754272461
seen_phase_strong_pa,sequence,2,8,32768,0.44512939453125,0.4437255859375,0.443756103515625,1.078589677810669
seen_phase_strong_pa,sequence,3,10,40960,0.445556640625,0.4443603515625,0.444921875,1.3423326015472412
seen_phase_strong_pa,sequence,4,12,49152,0.4397989908854167,0.4381103515625,0.4380900065104167,1.6065683364868164
